"Tableau XIII-1 : Evolution de la proportion des femmes et des hommes dans la population totale de 1976 à","","","","",""
"2023","","","","",""
"","","","Année de recensement","",""
"Sexe","","","","",""
"","RGP 1976","RGPH 1988","RGPH 2002","RGPHAE 2013","RGPH-5 2023"
"Femmes","2 525 263","3 543 209","5 005 718","6 773 294","8 947 496"
"Hommes","2 472 622","3 353 599","4 852 764","6 735 421","9 178 894"
"Ensemble","4 997 885","6 896 808","9 858 482","13 508 715","18 126 390"
"% Femmes","50,5","51,4","50,8","50,1","49,4"
"Source: ANSD. RGPH-5, 2023","","","","",""
