"Milieu 
de 
résidence","Principal combustible pour la cuisson","","","","","","Total"
"","Bois","Charbon","Gaz","Electricité","Bouse de vache","Autre",""
"Urbain","12,2","18,4","68,0","0,4","0,1","0,8","100"
"Rural","82,8","7,3","6,6","0,2","2,8","0,2","100"
"Total","38,4","14,3","45,2","0,3","1,1","0,6","100"
