"Typologie des ménages3","Masculin","","Féminin","","Ensemble",""
"","%","Effectif","%","Effectif","%","effectif"
"Ménage isolé","9,5","11 443","19,1","5 246","11,2","16 689"
"Ménage nucléaire","7,4","71 495","6,2","53 666","6,8","125 161"
"Ménage monoparental","6,2","9 442","10,7","21 653","8,7","31 095"
"Ménage élargi","6,7","466 240","7,7","558 275","7,2","1 024 514"
"Ménage composite","5,9","24 122","11,1","34 014","8,1","58 137"
