"Fréquentation scolaire","Urbain","","","Rural","","","National","",""
"","Masculin","Féminin","","Ensemble  Masculin","Féminin","","Ensemble  Masculin","Féminin","Ensemble"
"Non, n’a jamais fréquenté","28,6","35,4","30,8","48,1","64,4","52,4","35,5","43,9","38,0"
"Oui, a fréquenté","70,4","63,6","68,2","50,6","34,2","46,3","63,5","55,0","60,9"
"Oui, fréquente actuellement","0,9","1,0","0,9","1,3","1,4","1,4","1,1","1,1","1,1"
"Total","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
