"Tranche d'âge","Urbain","","","Rural","","","Total","",""
"","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble","Masculin","Féminin","Ensemble"
"6-9 ans","19 212 
31,1","14 974 
37,4","34 186 
33,6","67 845 
43,5","49 108 
48,2","116 953 
45,3","87 056 
40,0","64 083 
45,2","151 139 
42,0"
"10-14","42 543 
68,9","25 028 
62,6","67 572 
66,4","88 282 
56,5","52 685 
51,8","140 968 
54,7","130 826 
60,0","77 713 
54,8","208 539 
58,0"
"Total","61 755 
100,0","40 002 
100,0","101 757 
100,0","156 127 
100,0","101 794 
100,0","257 921 
100,0","217 882 
100,0","141 796 
100,0","359 678 
100,0"
