"Niveau 
d’instruction","Urbain","","","Rural","","","Ensemble","",""
"","Masculin","","Féminin  Ensemble  Masculin","","","Féminin  Ensemble  Masculin","","","Féminin  Ensemble"
"Sans niveau","49,2","59,9","51,3","69,8","77,1","70,6","65,2","70,9","66,0"
"Préscolaire","0,7","0,7","0,7","1,7","0,9","1,6","1,5","0,8","1,4"
"Primaire","18,4","20,4","18,8","14,8","14,6","14,8","15,6","16,7","15,8"
"Moyen","10,6","8,6","10,2","6,7","4,6","6,5","7,6","6,1","7,4"
"Secondaire","10,0","5,9","9,2","4,8","1,9","4,5","5,9","3,4","5,6"
"Supérieur","11,1","4,5","9,8","2,2","0,9","2,1","4,2","2,2","3,9"
"Total (%)","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif total","28 021","6 730","34 751","98 623","11 870","110 493","126 644","18 599","145 244"
