"Niveau d'instruction","Migrant","","","","",""
"","Non","","oui","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Sans niveau","7 817 729","96,9","247 358","3,1","8 065 087","100,0"
"Préscolaire","526 489","97,0","16 346","3,0","542 834","100,0"
"Primaire","4 223 785","98,1","80 619","1,9","4 304 404","100,0"
"Moyen","1 787 810","98,1","34 573","1,9","1 822 383","100,0"
"Secondaire","972 056","97,9","20 517","2,1","992 573","100,0"
"Supérieur","668 055","97,2","19 451","2,8","687 506","100,0"
"Total","15 995 924","97,4","418 863","2,6","16 414 787","100,0"
