"Age","Bulletin de 
naissance","","Jugement 
supplétif","","Aucun","","NSP","","Ensemble",""
"","Effectif","%","Effectif","%","Effectif","%","Effectif","%","Effectif","%"
"0 an","341 411","76,8","0","0","38 126","8,6","65 029","14,6","444 567","100,0"
"1 an","277 155","73,1","20 200","5,3","31 654","8,4","49 939","13,2","378 947","100,0"
"2 ans","296 173","69,4","27 360","6,4","38 536","9,0","64 496","15,1","426 565","100,0"
"3 ans","337 631","68,5","33 508","6,8","44 439","9,0","77 168","15,7","492 746","100,0"
"4 ans","323 762","66,5","36 842","7,6","46 032","9,5","80 443","16,5","487 079","100,0"
"Moins de 5 ans","1 576 133","70,7","117 910","5,3","198 787","8,9","337 075","15,1","2 229 904","100,0"
