"Types de pêche","Urbain","","Rural","","Total",""
"","Effectif","%","Effectif","%","Effectif","%"
"Pêche maritime","17544","65,8","9102","34,2","26645","100,0"
"Pêche continentale","2663","41,0","3834","59,0","6496","100,0"
"Aquaculture","730","26,3","2043","73,7","2773","100,0"
"Au moins un type de pêche","19062","58,4","13581","41,6","32642","100,0"
