"Graphique VI-9: Solde migratoire international au cours des 5 dernières années","","","","","",""
"Kédougou","","","","","","1 765"
"Ziguinchor","","","","","-505",""
"Kaffrine","","","","-2 209","",""
"Sédhiou","","","-3 980","","",""
"Fatick","","","-3 999","","",""
"Kaolack","","","-5 283","","",""
"Kolda","","","-6 698","","",""
"Tambacounda","","","-6 945","","",""
"Louga","","-11 235","","","",""
"Saint-Louis","","-12 616","","","",""
"Dakar","","-13 378","","","",""
"Thiès","","-13 730","","","",""
"Matam","","-14 286","","","",""
"Diourbel","-17 062","","","","",""
