"Groupes 
d’âges 
spécifiques","Milieu de résidence","","","","","","","",""
"","Urbain 
Rural 
Total","","","","","","","",""
"","Sexe","","","","","","","",""
"","Masculin","Féminin","","Ensemble  Masculin","Féminin","","Ensemble  Masculin","Féminin","Ensemble"
"Moins d'un an","120 776","110 828","231 604","112 837","102 909","215 746","233 612","213 738","447 350"
"0 - 1 ans","212 502","194 626","407 128","218 608","202 557","421 164","431 110","397 183","828 293"
"0 - 4 ans","597 233","551 797","1 149 029","564 833","529 875","1 094 708","1 162 066","1 081 671","2 243 737"
"15 - 49 ans","1 840 765","1 862 730","3 703 495","2 628 292","2 665 529","5 293 821","4 469 057","4 528 260","8 997 316"
"","","","","","","","","",""
"3 - 5 ans","405 758","375 853","781 612","359 514","337 256","696 770","765 272","713 110","1 478 382"
"6 - 11 ans","804 386","719 119","1 523 504","734 683","646 671","1 381 354","1 539 069","1 365 789","2 904 858"
"12 - 15 ans","506 709","446 839","953 548","521 846","471 816","993 662","1 028 555","918 655","1 947 210"
"6 - 16 ans","1 413 840","1 257 955","2 671 795","1 370 952","1 230 652","2 601 603","2 784 792","2 488 606","5 273 398"
"16 - 18 ans","303 699","279 308","583 007","352 619","346 264","698 883","656 318","625 572","1 281 890"
"","","","","","","","","",""
"0 - 14","1 919 573","1 732 298","3 651 871","1 805 743","1 633 514","3 439 257","3 725 315","3 365 813","7 091 128"
"0 - 17 ans","2 241 098","2 020 531","4 261 628","2 169 190","1 982 215","4 151 406","4 410 288","4 002 746","8 413 034"
"10 - 19 ans","1 143 924","1 027 236","2 171 160","1 228 284","1 143 078","2 371 362","2 372 208","2 170 314","4 542 522"
"15 - 24 ans","864 992","838 464","1 703 456","1 087 671","1 101 556","2 189 227","1 952 663","1 940 020","3 892 683"
"15 - 34 ans","1 362 083","1 373 669","2 735 752","1 850 264","1 901 261","3 751 526","3 212 348","3 274 930","6 487 277"
"18 ans et plus","1 929 979","2 012 384","3 942 363","2 838 628","2 932 366","5 770 993","4 768 607","4 944 750","9 713 357"
"","","","","","","","","",""
"225 216 
234 527 
296 806 
323 974 
522 022 
558 501 
60 ans et plus 
459 743 
620 780 
1 080 523","","","","","","","","",""
