"Groupes d’âge","Sexe du chef de ménage","",""
"","Homme","Femme","Ensemble"
"15-19","5,4","5,2","5,3"
"20-24","4,1","4,4","4,2"
"25-29","4,7","4,7","4,7"
"30-34","5,7","5,3","5,6"
"35-39","7,0","6,1","6,8"
"40-44","8,5","6,6","8,1"
"45-49","9,4","7,0","8,9"
