"N° 
d’ordre","Libellé de la 
variable","Nom de 
variable","(a) 
Cas valides","(b) Cas 
manquants","(c) Taux de valeurs 
manquantes (%)"
"1.","Etat 
matrimonial","B41","12 588 519","0","0%"
"2.","Présence du 
conjoint dans le 
ménage","B41A","3415061","0","0%"
"3.","Déclaration du 
mariage à l’Etat 
Civil","B42","3 415 061","0","0%"
