"Groupes d'âge","Migrant","",""
"","non","oui","Total"
"","Effectif 
%","Effectif 
%","Effectif 
%"
"1-4 ans","1 743 300 
97,7","40 446 
2,3","1 783 746 
100,0"
"5-9 ans","2 292 177 
97,8","51 771 
2,2","2 343 948 
100,0"
"10-14 ans","2 212 235 
97,7","51 495 
2,3","2 263 730 
100,0"
