"Groupe  
d'âges  
quinquennaux","Urbain","","","","Rural","","",""
"","Masculin","","Féminin","","Masculin","","Féminin",""
"","Non  
alphabétisés","Alphabétisés","Non  
alphabétisés","Alphabétisés","Non  
alphabétisés","Alphabétisés","Non  
alphabétisés","Alphabétisés"
"85-89","40,3","59,7","65,4","34,6","47,7","52,3","63,9","36,1"
"90-94","42,6","57,4","66,9","33,1","48,2","51,8","62,0","38,0"
"95+","40,8","59,2","64,9","35,1","46,0","54,0","62,2","37,8"
"Total","29,7","70,3","38,0","62,0","37,5","62,5","45,1","54,9"
