"Tranche 
d'âge","Urbain","","","Rural","","","Total","",""
"","Masculin","","Féminin  Ensemble","Masculin","","Féminin  Ensemble","Masculin","","Féminin  Ensemble"
"6-9","4,5","3,6","4,0","13,0","10,1","11,6","9,1","7,0","8,1"
"10-14","7,7","4,5","6,1","14,7","9,5","12,2","11,4","7,0","9,2"
"Total","6,3","4,1","5,2","13,9","9,7","11,9","10,4","7,0","8,7"
