"Fréquentation scolaire","Garçon","","Fille","","Ensemble",""
"","6-11 ans","12-16 ans","6-11 ans","12-16 ans","6-11 ans","12-16 ans"
"n'a jamais fréquenté","21,1","19,8","21,8","20,7","21,5","20,2"
"Ne fréquente plus","16,3","25,7","14,8","24,0","15,6","24,9"
"Fréquente actuellement","62,5","54,4","63,4","55,3","63,0","54,8"
"Total","100,0","100,0","100,0","100,0","100,0","100,0"
"Effectif","1539069","1245723","1365789","1122817","2904858","2368540"
