"","Groupe d'âge  Monogames  Polygames  Célibataires","","","Veuves","Divorcées","Concubinages
/union libre","Séparées"
"10-14 ans","108,8","131,5","1,0","33,1","83,0","7,9","20,8"
"15-19 ans","226,8","231,4","5,3","93,1","139,6","49,1","122,3"
"10-19 ans","212,4","220,0","2,9","64,7","131,4","26,5","99,1"
