"Contexte de 
résidence","Titre de propriété","","","",""
"","Propriétaire avec titre","Propriétaire sans 
titre","Co propriétaire 
avec titre","Co propriétaire 
sans titre","Total"
"","Effectif 
%","Effectif 
%","Effectif 
%","Effectif 
%","Effectif 
%"
"Urbain","677 115 
88,9","27 236 
3,6","53 664 
7,0","4 042 
0,5","762 057 
100,0"
"Rural","480 045 
68,3","178 112 
25,4","29 397 
4,2","14 839 
2,1","702 392 
100,0"
"Sénégal","1 157 160 
79,0","205 347 
14,0","83 061 
5,7","18 881 
1,3","1 464 449 
100,0"
