"REGION","URBAIN","RURAL","ENSEMBLE"
"Dakar","2,8","-","2,8"
"Ziguinchor","3,7","4,6","4,0"
"Diourbel","4,7","5,5","5,0"
"Saint-Louis","3,8","4,8","4,2"
"Tambacounda","4,1","5,7","5,2"
"Kaolack","4,1","6,0","5,1"
"Thiès","3,6","4,7","4,1"
"Louga","3,7","4,8","4,4"
"Fatick","4,4","5,5","5,2"
"Kolda","4,7","5,6","5,2"
