"Sexe","Taux d’alphabétisation (%)","",""
"","Urbain","Rural","Ensemble"
"Masculin","17,3%","28,1%","21,8%"
"Féminin","18,8%","29,6%","23,3%"
"Ensemble","18,1%","28,8%","22,6%"
"Indice de parité","109","105","107"
